"month","total_sales","total_profit","sales_growth_pct","profit_growth_pct"
"2022-03-01 00:00:00.000","101683.84999999998","101683.84999999998",,
"2022-04-01 00:00:00.000","2.8838708319999866E7","2.8838708319999866E7","28261.15","28261.15"
"2022-05-01 00:00:00.000","2.6226476749999978E7","2.6226476749999978E7","-9.06","-9.06"
"2022-06-01 00:00:00.000","2.342580937999996E7","2.342580937999996E7","-10.68","-10.68"
