"state","total_negative_profit"
"MAHARASHTRA","-1098378.8800000001"
"KARNATAKA","-827075.4299999999"
"UTTAR PRADESH","-625327.7"
"TELANGANA","-623979.6000000001"
"TAMIL NADU","-552632.0700000002"
"KERALA","-436944.55000000005"
"ANDHRA PRADESH","-335425.23999999993"
"DELHI","-329126.97000000003"
"WEST BENGAL","-292916.99999999994"
"Gujarat","-240943.81999999995"
